country.iso,country.name,num_u,num_contrib,gini,pr_total,pr_questions,pr_answers,pr_comments,pr_editions,particip_lower,particip_upper,var,IDV,GNI,Internet,English,WVS
BRA,Brazil,2017,8427,0.9332813014,0.3589489341,0.218145761,0.1953396133,0.1973227566,0.02528507685,0.3383009805,0.3801331414,0.04183216092,38,11630,45,49.96,0.81
ESP,Spain,1262,8671,0.9505745421,0.4025356577,0.205229794,0.2456418384,0.204437401,0.02297939778,0.3758140906,0.4298487763,0.05403468572,51,30110,67.6,57.18,0.54
PRI,Puerto Rico,35,55,0.7490909091,0.5142857143,0.2,0.3428571429,0.2285714286,0,0.355688046,0.67005764,0.314369594,NA,18000,48,NA,1.12
PRY,Paraguay,35,57,0.8922305764,0.3428571429,0.2,0.1714285714,0.1142857143,0.02857142857,0.2083169499,0.5084805049,0.300163555,NA,3290,23.9,NA,NA
SMR,San Marino,5,17,0.7058823529,0.6,0.2,0.2,0.4,0,0.2307242813,0.8823792258,0.6516549445,NA,NA,49.6,NA,NA
GGY,Guernsey,5,48,0.7166666667,0.8,0.2,0.4,0.8,0.2,0.3755346298,0.9637758914,0.5882412616,NA,NA,NA,NA,NA
SEN,Senegal,5,34,0.8,0.2,0.2,0.2,0.2,0.2,0.03622410863,0.6244653702,0.5882412616,NA,1040,17.5,NA,NA
PSE,"Palestine, State of",22,34,0.8529411765,0.3181818182,0.1818181818,0.1363636364,0.1818181818,0.04545454545,0.1636059318,0.5268140226,0.3632080908,NA,NA,41.1,NA,NA
QAT,Qatar,22,23,0.8754940711,0.2272727273,0.1818181818,0.1363636364,0.1363636364,0,0.1012303999,0.4343995318,0.3331691319,NA,76010,86.2,47.81,NA
PAN,Panama,18,18,0.8333333333,0.3333333333,0.1666666667,0.2777777778,0.05555555556,0,0.1627877475,0.562505327,0.3997175795,11,9850,42.7,43.7,NA
BLR,Belarus,248,1036,0.9551236144,0.314516129,0.1653225806,0.185483871,0.1532258065,0.02822580645,0.2599294638,0.3747613435,0.1148318797,NA,6530,39.6,NA,NA
TWN,"Taiwan, Province of China",233,273,0.8851263186,0.2875536481,0.1587982833,0.1459227468,0.1373390558,0.008583690987,0.2332524472,0.3487464119,0.1154939647,17,NA,NA,52.56,-1.18
ECU,Ecuador,38,61,0.8278688525,0.3684210526,0.1578947368,0.2105263158,0.2631578947,0.02631578947,0.2338421925,0.5271604044,0.293318212,8,5200,31.4,51.05,NA
LUX,Luxembourg,44,160,0.8463068182,0.4772727273,0.1363636364,0.4090909091,0.2045454545,0.04545454545,0.3375499103,0.6206453444,0.2830954341,60,76960,90.9,NA,1.13
SLV,El Salvador,23,22,0.7707509881,0.3913043478,0.1304347826,0.3043478261,0.2173913043,0,0.2215762279,0.5921447761,0.3705685482,19,3580,18.9,43.46,0.53
